time,xpos,ypos,zpos
1,3.125,0,-8.125
2,3.125,0.3125,-7.8125
3,3.125,0.625,-7.5
4,3.125,1.25,-7.1875
5,3.125,1.5625,-6.875
6,3.125,1.875,-6.5625
7,3.125,2.1875,-6.25
8,3.125,2.5,-5.9375
9,3.125,2.8125,-5.625
10,2.8125,3.125,-5.3125
11,2.8125,3.4375,-5
12,2.5,3.75,-4.6875
13,2.1875,4.0625,-4.375
14,1.875,4.375,-4.0625
15,1.875,4.6875,-3.75
16,1.5625,5,-3.4375
17,1.25,5,-3.125
18,0.625,5.3125,-2.8125
19,0.3125,5.3125,-2.5
20,0,5.625,-2.1875
21,-0.625,5.625,-1.875
22,-0.9375,5.9375,-1.875
23,-1.25,5.9375,-1.25
24,-1.875,5.9375,-1.25
25,-2.1875,5.9375,-0.9375
26,-2.8125,5.9375,-0.625
27,-3.125,5.9375,-0.3125
28,-3.4375,5.9375,0
29,-4.0625,5.9375,0.3125
30,-4.375,5.9375,0.625
31,-4.6875,5.625,0.9375
32,-5.3125,5.625,1.25
33,-5.625,5.3125,1.5625
34,-5.9375,5.3125,1.875
35,-5.9375,5,2.1875
36,-6.25,5,2.5
37,-6.5625,4.6875,2.8125
38,-6.5625,4.375,3.125
39,-6.875,4.0625,3.4375
40,-6.875,3.75,3.75
41,-6.875,3.4375,4.0625
42,-6.875,3.4375,4.375
43,-6.875,2.8125,4.6875
44,-6.5625,2.5,5
45,-6.25,2.1875,5
46,-6.25,1.875,5.625
47,-5.9375,1.5625,5.625
48,-5.3125,1.25,5.9375
49,-5,0.9375,6.5625
